,model,dataset,exp,acc,f1,recall,precision,time
95,kan,TwoLeadECG,0,0.6,0.5666666666666667,0.6,0.8,26.04021430015564
96,kan,TwoPatterns,0,0.64,0.6424678908248722,0.64,0.6500591397849462,37.2428560256958
97,kan,UMD,0,0.875,0.8194444444444444,0.875,0.775,70.16410231590271
98,kan,UWaveGestureLibraryAll,0,0.8666667,0.8682058244305362,0.8666666666666667,0.8840090968161143,131.62398076057434
99,kan,UWaveGestureLibraryX,0,0.62222224,0.6070954813279822,0.6222222222222222,0.6042424834908495,68.72002816200256
100,kan,UWaveGestureLibraryY,0,0.6111111,0.6135537539857614,0.6111111111111112,0.6299787330761426,72.466228723526
101,kan,UWaveGestureLibraryZ,0,0.53888893,0.5286708435805798,0.5388888888888889,0.5275686566120078,61.31000471115112
102,kan,Wafer,0,1.0,1.0,1.0,1.0,34.274620056152344
103,kan,Wine,0,1.0,1.0,1.0,1.0,40.00427937507629
104,kan,WordSynonyms,0,0.4814815,0.4421413009648303,0.4814814814814814,0.4339506172839505,33.932631731033325
105,kan,Worms,0,0.35135135,0.3669123669123669,0.3513513513513513,0.467064467064467,52.09726548194885
106,kan,WormsTwoClass,0,0.6216216,0.6110458284371328,0.6216216216216216,0.6154954954954955,54.40225243568421
107,kan,Yoga,0,0.8000001,0.7988571428571429,0.8,0.799537037037037,33.45993995666504
108,kan,PigAirwayPressure,0,0.0952381,0.0952380952380952,0.0952380952380952,0.0952380952380952,70.38896894454956
109,kan,PigArtPressure,0,0.04761905,0.0476190476190476,0.0476190476190476,0.0476190476190476,71.83404970169067
110,kan,PigCVP,0,0.04761905,0.0317460317460317,0.0476190476190476,0.0238095238095238,67.9085910320282
111,kan,Plane,0,0.9047619,0.9047619047619048,0.9047619047619048,0.9047619047619048,16.098722219467163
112,kan,AllGestureWiimoteX,0,0.26666668,0.2588679838679839,0.2666666666666666,0.3041071428571428,28.7013201713562
113,kan,AllGestureWiimoteY,0,0.40000004,0.4163346620699562,0.4,0.4799675324675325,25.75495767593384
114,kan,AllGestureWiimoteZ,0,0.3166667,0.3115151515151515,0.3166666666666666,0.3239880952380952,23.60671615600586
115,kan,DodgerLoopDay,0,0.42857146,0.4238095238095238,0.4285714285714285,0.4523809523809524,18.31773567199707
116,kan,DodgerLoopGame,0,0.75,0.7666666666666667,0.75,0.875,18.632302045822144
117,kan,DodgerLoopWeekend,0,1.0,1.0,1.0,1.0,19.475155115127563
118,kan,Fungi,0,0.0,0.0,0.0,0.0,17.24355411529541
119,kan,GestureMidAirD1,0,0.5,0.4946145124716554,0.5,0.5484126984126984,28.18427419662476
120,kan,GestureMidAirD2,0,0.11904762,0.0873015873015872,0.119047619047619,0.0714285714285714,33.24672818183899
121,kan,GestureMidAirD3,0,0.3809524,0.3404761904761904,0.3809523809523809,0.4027777777777777,35.177433252334595
122,kan,GesturePebbleZ1,0,0.4814815,0.4685372240927796,0.4814814814814814,0.4641975308641975,20.126487016677856
123,kan,GesturePebbleZ2,0,0.40000004,0.4051948051948051,0.4,0.43,26.609601259231567
124,kan,MelbournePedestrian,0,0.82017547,0.8185630322381118,0.8201754385964912,0.827280392556586,20.03095960617065
125,kan,PickupGestureWiimoteZ,0,0.6,0.5666666666666667,0.6,0.6,25.534887075424194
126,kan,ShakeGestureWiimoteZ,0,0.5,0.5833333333333333,0.5,0.8,24.74909448623657
127,kan,PLAID,0,0.5092593,0.5190422322775263,0.5092592592592593,0.5613050015827794,751.92160820961
