,model,dataset,exp,acc,f1,recall,precision,early_stopped_at,time
63,fcn,MixedShapesSmallTrain,0,0.8577319587628865,0.8557371453528564,0.8577319587628865,0.8726735976606503,2000,123.91198015213013
64,fcn,MoteStrain,0,0.926517571884984,0.9264434732282442,0.926517571884984,0.9266031297594296,2000,15.603103876113892
65,fcn,NonInvasiveFetalECGThorax1,0,0.8564885496183207,0.8110274935283169,0.8564885496183207,0.7790649392385879,2000,1199.089434146881
66,fcn,NonInvasiveFetalECGThorax2,0,0.8371501272264631,0.7922314935006745,0.8371501272264631,0.7640660557685277,2000,1148.2200672626495
67,fcn,OliveOil,0,0.3,0.1384615384615384,0.3,0.09,2000,15.084315299987791
68,fcn,OSULeaf,0,0.9710743801652892,0.9712280737081112,0.9710743801652892,0.9726124885215792,2000,77.5096206665039
69,fcn,PhalangesOutlinesCorrect,0,0.831002331002331,0.8277255301420123,0.831002331002331,0.8313797493138961,2000,234.6706395149231
70,fcn,Phoneme,0,0.3243670886075949,0.2897008385081751,0.3243670886075949,0.2776412648828583,2000,147.20603156089783
71,fcn,PigAirwayPressure,0,0.1153846153846153,0.0556562939776231,0.1153846153846153,0.0618565534077656,2000,132.29078817367554
72,fcn,PigArtPressure,0,0.4519230769230769,0.3941726511296647,0.4519230769230769,0.4184716680659885,2000,132.38791227340698
73,fcn,PigCVP,0,0.1346153846153846,0.1267464214272725,0.1346153846153846,0.1669580419580419,2000,132.4346058368683
74,fcn,Plane,0,1.0,1.0,1.0,1.0,2000,18.24472188949585
75,fcn,PowerCons,0,0.8833333333333333,0.8825174825174825,0.8833333333333333,0.8942857142857142,2000,27.657045602798465
76,fcn,ProximalPhalanxOutlineCorrect,0,0.8797250859106529,0.8791782386414022,0.8797250859106529,0.87884141709665,2000,75.36716842651367
77,fcn,ProximalPhalanxOutlineAgeGroup,0,0.8536585365853658,0.8565782010329283,0.8536585365853658,0.8608594657375146,2000,49.95604920387268
78,fcn,ProximalPhalanxTW,0,0.7804878048780488,0.7532485130046106,0.7804878048780488,0.7369024392224868,2000,50.72207093238831
79,fcn,RefrigerationDevices,0,0.504,0.5014508522082664,0.504,0.52042142360919,2000,181.88451886177063
80,fcn,Rock,0,0.38,0.3444545454545455,0.38,0.4531578947368421,2000,35.931989431381226
81,fcn,ScreenType,0,0.6266666666666667,0.6265434374466633,0.6266666666666667,0.6264723982672897,2000,182.2483627796173
82,fcn,SemgHandGenderCh2,0,0.825,0.8144993754187725,0.825,0.8331161534980257,2000,285.2348008155823
83,fcn,SemgHandMovementCh2,0,0.4488888888888889,0.4287425911656772,0.4488888888888889,0.4825248437349975,2000,426.42628622055054
84,fcn,SemgHandSubjectCh2,0,0.44,0.4409792329198407,0.44,0.6370478358374019,2000,426.4295434951782
85,fcn,ShapeletSim,0,0.7166666666666667,0.7134742033147102,0.7166666666666667,0.7267734849463755,2000,11.363503694534302
86,fcn,ShapesAll,0,0.8833333333333333,0.8747190334385224,0.8833333333333333,0.8769039375657023,2000,231.3801040649414
87,fcn,SmallKitchenAppliances,0,0.792,0.7909286196904258,0.792,0.7928816798866801,2000,182.26436233520508
88,fcn,SmoothSubspace,0,0.9933333333333332,0.9933326665999932,0.9933333333333332,0.9934640522875816,2000,18.247232913970947
89,fcn,SonyAIBORobotSurface1,0,0.9500831946755408,0.950313145115507,0.9500831946755408,0.9552828618968386,2000,7.739905595779419
90,fcn,SonyAIBORobotSurface2,0,0.974816369359916,0.9748901980489572,0.974816369359916,0.97528640534846,2000,7.047901630401611
91,fcn,StarLightCurves,0,0.9749878581835842,0.9746206959085288,0.9749878581835842,0.9747631546254036,2000,721.7510073184967
92,fcn,Strawberry,0,0.9756756756756756,0.9757726281676746,0.9756756756756756,0.9762501513449166,2000,246.4032084941864
93,fcn,SwedishLeaf,0,0.9712,0.970929503284094,0.9712,0.9717553380535904,2000,138.67324686050415
94,fcn,Symbols,0,0.9608040201005024,0.9609211503069636,0.9608040201005024,0.9640460088151512,2000,13.200350999832152
95,fcn,SyntheticControl,0,0.99,0.98999899989999,0.99,0.990062691743364,2000,169.065931558609
96,fcn,ToeSegmentation1,0,0.956140350877193,0.95617074564443,0.956140350877193,0.9575253924284396,2000,13.243890523910522
